fullName,description,language,stargazersCount,createdAt,pushedAt,visibility,url,description_zh
exopoiesis/arxiv-radar-chemistry,"Daily-curated chemistry-relevant papers from arXiv with abstracts, canonical tags, and generated Pages views.",Python,1,2026-05-03 22:55:49,2026-08-27 15:47:46,public,https://github.com/exopoiesis/arxiv-radar-chemistry,来自 arXiv 的每日精选化学相关论文，包含摘要、规范标签和生成的页面视图。
iszhanjiawei/TTS_arxiv_daily,,Python,3,2025-07-29 11:13:56,2026-08-27 15:24:47,public,https://github.com/iszhanjiawei/TTS_arxiv_daily,
AI-in-Transportation-Lab/awesome-mechanistic-interpretability,"A carefully curated collection of high-quality libraries, projects, tutorials, research papers, and other essential resources focused on Mechanistic Interpretability, a growing subfield in machine learning interpretability research that aims to reverse-engineer neural networks into understandable computational components.",JavaScript,151,2025-06-12 01:06:59,2026-08-27 14:48:25,public,https://github.com/AI-in-Transportation-Lab/awesome-mechanistic-interpretability,精心策划的高质量库、项目、教程、研究论文和其他重要资源的集合，重点关注机械可解释性，这是机器学习可解释性研究中不断发展的子领域，旨在将神经网络逆向工程为可理解的计算组件。
exopoiesis/arxiv-radar-polymer,"Daily-curated polymer-relevant papers from arXiv with abstracts, canonical tags, and generated Pages views.",Python,0,2026-05-04 03:29:07,2026-08-27 14:38:58,public,https://github.com/exopoiesis/arxiv-radar-polymer,来自 arXiv 的每日精选聚合物相关论文，包含摘要、规范标签和生成的页面视图。
joheras/Lecturas,,Jupyter Notebook,20,2019-09-02 22:15:58,2026-08-27 14:13:00,public,https://github.com/joheras/Lecturas,
kucm-lsbi/MANTA,MANTA: Metric decoding with language-model geometric priors for tunable IDP ensemble generation,Python,0,2026-08-05 12:02:38,2026-08-27 14:05:22,public,https://github.com/kucm-lsbi/MANTA,MANTA：使用语言模型几何先验进行度量解码，用于可调 IDP 集成生成
iszhanjiawei/flow_matching_arxiv_daily,,Python,106,2025-07-08 18:20:28,2026-08-27 13:55:06,public,https://github.com/iszhanjiawei/flow_matching_arxiv_daily,
dvlan26/daily-arxiv-ai4sensor,🎓Automatically Update AI4Sensor Papers Daily using Github Actions,Python,2,2026-02-01 09:49:39,2026-08-27 13:27:46,public,https://github.com/dvlan26/daily-arxiv-ai4sensor,🎓使用 Github Actions 每天自动更新 AI4Sensor 论文
ZhuYingJessica/cv-daily,This is an Arxiv paper collection,Python,47,2024-05-22 10:52:59,2026-08-27 13:13:40,public,https://github.com/ZhuYingJessica/cv-daily,这是 Arxiv 论文集
ai4s-research/awesome-ai-for-science,"A curated list of awesome AI tools, libraries, papers, datasets, and frameworks that accelerate scientific discovery — from physics and chemistry to biology, materials, and beyond.",,1917,2025-10-04 17:32:39,2026-08-27 12:54:55,public,https://github.com/ai4s-research/awesome-ai-for-science,精选的人工智能工具、库、论文、数据集和框架列表，可加速科学发现——从物理和化学到生物学、材料等。
DerekDLP/arxivpaper-daily,,Python,0,2025-09-24 12:29:20,2026-08-27 11:04:24,public,https://github.com/DerekDLP/arxivpaper-daily,
CobanAkdemirlab/NMDescapediseasegene_paper,,R,0,2025-03-07 05:38:53,2026-08-27 05:05:31,public,https://github.com/CobanAkdemirlab/NMDescapediseasegene_paper,
sinc-lab/emb2dis,Deep learning model for protein disorder prediction,Python,2,2026-03-05 23:36:45,2026-08-27 03:48:08,public,https://github.com/sinc-lab/emb2dis,蛋白质紊乱预测的深度学习模型
riocx978/riocx978,,,0,2026-04-27 03:24:24,2026-08-27 03:43:02,public,https://github.com/riocx978/riocx978,
spacenship/newDailyArxiv,daily paper from Arxiv,Python,0,2026-05-08 13:17:08,2026-08-27 02:18:07,public,https://github.com/spacenship/newDailyArxiv,来自 Arxiv 的日报
zezhishao/DailyArXiv,Daily ArXiv Papers.,Python,447,2024-03-15 22:45:16,2026-08-27 02:17:34,public,https://github.com/zezhishao/DailyArXiv,每日 ArXiv 论文。
AspirinCode/papers-for-molecular-design-using-DL,List of Molecular and Material design using Generative AI and Deep Learning ,,951,2023-02-28 15:08:10,2026-08-26 22:01:29,public,https://github.com/AspirinCode/papers-for-molecular-design-using-DL,使用生成式人工智能和深度学习的分子和材料设计列表
yqhuang722/DailyArxiv,"A bot that automatically fetches the latest articles from Arxiv, helping users stay updated with new research papers based on customizable keywords or categories. Ideal for researchers and academics tracking cutting-edge developments.",Python,8,2025-01-23 11:16:18,2026-08-26 20:54:11,public,https://github.com/yqhuang722/DailyArxiv,一个自动从 Arxiv 获取最新文章的机器人，帮助用户根据可自定义的关键字或类别随时了解新的研究论文。非常适合跟踪前沿发展的研究人员和学者。
ryanemenecker/idr_flanks,A Python package for building flanking idrs to help with binding a target,Python,0,2026-08-20 23:25:50,2026-08-26 20:52:35,public,https://github.com/ryanemenecker/idr_flanks,用于构建侧翼 idrs 以帮助绑定目标的 Python 包
KentoNishi/awesome-all-you-need-papers,"A list of all ""all you need"" papers. Updated daily using the arXiv API.",Python,161,2021-06-10 11:29:42,2026-08-26 19:58:47,public,https://github.com/KentoNishi/awesome-all-you-need-papers,所有“您需要的”论文的列表。使用 arXiv API 每日更新。
cguyeux/deciphering-tuberculosis-with-ai,,Python,0,2026-06-03 17:23:14,2026-08-26 18:41:57,public,https://github.com/cguyeux/deciphering-tuberculosis-with-ai,
Zenteomics/awesome-proteomics,"A curated list of awesome proteomics tools, databases, workflows, and learning resources with expert guides and practitioner pipelines.",,1,2026-05-14 13:37:52,2026-08-26 08:29:57,public,https://github.com/Zenteomics/awesome-proteomics,精选的蛋白质组学工具、数据库、工作流程和学习资源以及专家指南和从业者管道的精选列表。
Cosmos-Logic-Institute-CLI/Infinite-Virtual,Boundaries between virtual and reality are non-existent,,2,2026-01-27 05:50:34,2026-08-26 08:29:31,public,https://github.com/Cosmos-Logic-Institute-CLI/Infinite-Virtual,虚拟与现实之间不存在界限
idptools/sparrow,Next generation sequence parameter library for proteins,Python,44,2020-12-22 05:42:26,2026-08-26 03:50:04,public,https://github.com/idptools/sparrow,下一代蛋白质序列参数库
mattyb4/Cluster-Scout,,Python,0,2026-06-09 06:35:26,2026-08-26 03:26:21,public,https://github.com/mattyb4/Cluster-Scout,
terravic/alphafold-database-visualize-skill,"Agent skill and pipeline to retrieve, analyze, and visualize AlphaFold predicted structures with interactive 3D WebGL, pLDDT metrics, and PAE domain heatmaps in Canvas.",Python,0,2026-08-26 02:41:45,2026-08-26 02:41:49,public,https://github.com/terravic/alphafold-database-visualize-skill,代理技能和管道，用于通过 Canvas 中的交互式 3D WebGL、pLDDT 指标和 PAE 域热图检索、分析和可视化 AlphaFold 预测结构。
MiHiR-Kr-007/IDP-Spot-Finder,"A computational pipeline for mathematically isolating topologically stable interaction hubs within Intrinsically Disordered Proteins (IDPs). It leverages spatial graph theory,  clustering to analyze massive Molecular Dynamics simulations.",Python,0,2026-08-25 21:08:48,2026-08-25 21:25:58,public,https://github.com/MiHiR-Kr-007/IDP-Spot-Finder,用于在数学上隔离本质无序蛋白质 (IDP) 内的拓扑稳定相互作用中心的计算管道。它利用空间图论、聚类来分析大规模分子动力学模拟。
im-va-3/jax-md-main,Public consolidated snapshot of jax-md-main (differentiable-molecular-dynamics) from 07-molecular-materials-and-condensed-matter.,Jupyter Notebook,0,2026-08-25 03:18:48,2026-08-25 18:41:09,public,https://github.com/im-va-3/jax-md-main,来自 07-分子材料和凝聚态物质的 jax-md-main（可微分分子动力学）的公共综合快照。
awbran/RoseTTAFold2-PPI,,Python,0,2026-08-25 17:23:32,2026-08-25 17:24:38,public,https://github.com/awbran/RoseTTAFold2-PPI,
HyeonjeYang/arabidopsis-rbp-idr-atlas,"Sequence-audited comparative analysis of intrinsically disordered regions in Arabidopsis RNA-binding proteins, with experimentally anchored ECT8 and FLK case studies.",Python,0,2026-08-25 12:56:17,2026-08-25 16:05:32,public,https://github.com/HyeonjeYang/arabidopsis-rbp-idr-atlas,通过实验锚定的 ECT8 和 FLK 案例研究，对拟南芥 RNA 结合蛋白的本质无序区域进行序列审核比较分析。
gitesei/MEM-CALVADOS,,Python,1,2026-02-04 03:37:18,2026-08-25 16:03:55,public,https://github.com/gitesei/MEM-CALVADOS,
iashuks/MutaFoldv2,,TypeScript,0,2026-08-25 15:04:23,2026-08-25 15:06:12,public,https://github.com/iashuks/MutaFoldv2,
u107207006/ID-Lottery-Global-Manifesto,2026 Global Governance Diagnosis & Social Detox Project by Hsu Tsuan-Jung.,HTML,0,2026-02-22 00:11:26,2026-08-25 14:37:09,public,https://github.com/u107207006/ID-Lottery-Global-Manifesto,2026 年全球治理诊断与社会排毒项目，作者：Hsu Tsuan-Jung。
MaybeBio/MaybeBio,,,1,2024-09-05 23:47:25,2026-08-25 10:12:31,public,https://github.com/MaybeBio/MaybeBio,
zeleny-ondrej/STNN-Weekly-Arxiv,Scraping repository of the most relevant topics with regards to Spatio-Temporal Neural Networks available in the arXiv archive. The repository and workflow is based on https://github.com/SpikingChen/SNN-Daily-Arxiv.,Python,20,2024-04-23 19:22:58,2026-08-25 06:16:03,public,https://github.com/zeleny-ondrej/STNN-Weekly-Arxiv,抓取 arXiv 档案中与时空神经网络最相关的主题的存储库。存储库和工作流程基于 https://github.com/SpikingChen/SNN-Daily-Arxiv。
219plgit/scijigsaw,Scientific Jigsaw,HTML,0,2026-07-13 23:42:49,2026-08-25 05:38:35,public,https://github.com/219plgit/scijigsaw,科学拼图
longevity-genie/materialized-enhancements,A project for 『 The New Human 』ART+TECH Festival [2026] ,Python,1,2026-03-07 16:23:45,2026-08-25 03:31:39,public,https://github.com/longevity-genie/materialized-enhancements,『新人类』艺术+科技节企划 [2026]
feiglab/idpgan,,Jupyter Notebook,52,2022-06-18 05:13:06,2026-08-25 00:22:01,public,https://github.com/feiglab/idpgan,
FarisRaza/rbp-dataset,UCLA Kappel Lab's repository for documenting and generating a human proteome-wide dataset with a focus on RNA-binding proteins.,Python,0,2026-08-13 04:40:31,2026-08-24 23:20:00,public,https://github.com/FarisRaza/rbp-dataset,加州大学洛杉矶分校卡佩尔实验室的存储库，用于记录和生成人类蛋白质组范围的数据集，重点关注 RNA 结合蛋白。
bioinfbrad/enzywizard-mut-integrate,,Python,0,2026-04-23 21:18:52,2026-08-25 00:04:11,public,https://github.com/bioinfbrad/enzywizard-mut-integrate,
bioinfbrad/enzywizard-mut-batch,,Python,0,2026-04-23 21:19:59,2026-08-25 00:02:58,public,https://github.com/bioinfbrad/enzywizard-mut-batch,
bioinfbrad/enzywizard-integrate,,Python,0,2026-04-23 21:19:13,2026-08-25 00:01:28,public,https://github.com/bioinfbrad/enzywizard-integrate,
bioinfbrad/enzywizard-disorder,,Python,0,2026-04-23 21:16:40,2026-08-24 23:56:57,public,https://github.com/bioinfbrad/enzywizard-disorder,
bioinfbrad/enzywizard-batch,,Python,0,2026-04-23 21:19:36,2026-08-24 23:53:10,public,https://github.com/bioinfbrad/enzywizard-batch,
mesdaghi/genome_annotation_quality_nextflow_pipeline,"Nextflow pipeline for large-scale protein structure prediction using Protenix, with automated chunking, model processing, and pLDDT distribution analysis against reference organism datasets. Also Metapredict and PSAURON analysis",Python,0,2026-02-12 23:32:12,2026-08-24 19:05:10,public,https://github.com/mesdaghi/genome_annotation_quality_nextflow_pipeline,使用 Protenix 进行大规模蛋白质结构预测的 Nextflow 管道，具有针对参考生物数据集的自动分块、模型处理和 pLDDT 分布分析。还有 Metapredict 和 PSAURON 分析
eerstar/LLM-Agent-paper-daily,,Python,0,2026-02-16 00:43:31,2026-08-24 17:47:45,public,https://github.com/eerstar/LLM-Agent-paper-daily,
iashuks/Mutafold,,TypeScript,0,2026-08-24 17:33:36,2026-08-24 17:37:21,public,https://github.com/iashuks/Mutafold,
theneao/CV-SAR-Seg-arxiv-daily,CV领域 个人关注方向 每日arxiv文章更新,Python,4,2023-06-02 21:04:55,2026-08-24 17:08:11,public,https://github.com/theneao/CV-SAR-Seg-arxiv-daily,[translate failed]
cnlinxi/LLM-paper-daily,Automatically Update LLM Papers Daily using Github Actions. Ref: https://github.com/Vincentqyw/cv-arxiv-daily,Python,10,2024-12-06 22:47:02,2026-08-24 17:05:49,public,https://github.com/cnlinxi/LLM-paper-daily,使用 Github Actions 每日自动更新 LLM 论文。参考：https://github.com/Vincentqyw/cv-arxiv-daily
DZRRRRRR/my_arxiv_daily,,Python,2,2023-12-18 16:52:43,2026-08-24 17:02:15,public,https://github.com/DZRRRRRR/my_arxiv_daily,
Xuchen-Li/cv-arxiv-daily,"Automatically update arXiv papers about SOT & VLT,  Multi-modal Learning, LLM and Video Understanding using Github Actions.",Python,48,2024-02-07 09:44:07,2026-08-24 16:58:39,public,https://github.com/Xuchen-Li/cv-arxiv-daily,使用 Github Actions 自动更新有关 SOT 和 VLT、多模态学习、LLM 和视频理解的 arXiv 论文。
Vincentqyw/cv-arxiv-daily,🎓Automatically Update CV Papers Daily using Github Actions,Python,1494,2021-10-08 22:35:41,2026-08-24 16:52:25,public,https://github.com/Vincentqyw/cv-arxiv-daily,🎓使用 Github Actions 每天自动更新简历论文
YuzeHao2023/daily-arxiv-ai4bio,🎓Automatically Update AI4Bio Papers Daily using Github Actions,Python,18,2026-01-18 21:21:37,2026-08-24 16:51:40,public,https://github.com/YuzeHao2023/daily-arxiv-ai4bio,🎓使用 Github Actions 每日自动更新 AI4Bio 论文
Lyz103/LLM-Agent-Paper-daily,Automatically Update LLM-Agent Papers Daily using Github Actions (Update Every 12th hours),Python,20,2024-08-27 16:15:19,2026-08-24 16:49:22,public,https://github.com/Lyz103/LLM-Agent-Paper-daily,使用 Github Actions 每天自动更新 LLM-Agent 论文（每 12 小时更新一次）
YuzeHao2023/daily-arxiv-ai4polymer,🎓Automatically Update AI4Polymer Papers Daily using Github Actions,Python,5,2026-01-19 18:42:17,2026-08-24 16:48:56,public,https://github.com/YuzeHao2023/daily-arxiv-ai4polymer,🎓使用 Github Actions 每日自动更新 AI4Polymer 论文
YuzeHao2023/daily-arxiv-ai4chem,🎓Automatically Update AI4Chem Papers Daily using Github Actions,Python,30,2026-01-18 14:29:07,2026-08-24 16:46:32,public,https://github.com/YuzeHao2023/daily-arxiv-ai4chem,🎓使用 Github Actions 每日自动更新 AI4Chem 论文
YuzeHao2023/daily-arxiv-ai4economy,🎓Automatically Update AI4Economy Papers Daily using Github Actions,Python,5,2026-01-21 21:14:02,2026-08-24 16:44:24,public,https://github.com/YuzeHao2023/daily-arxiv-ai4economy,🎓使用 Github Actions 每日自动更新 AI4Economy 论文
jiangnan030-del/ai-arxiv-daily,"Auto-track AI/LLM papers daily from arXiv - Large Language Model, AI Agent, RAG, Prompt Engineering, RLHF, Multimodal, Code Generation, Fine-tuning",Python,0,2026-03-20 21:06:42,2026-08-24 16:42:44,public,https://github.com/jiangnan030-del/ai-arxiv-daily,每天自动跟踪来自 arXiv 的 AI/LLM 论文 - 大型语言模型、AI Agent、RAG、Prompt Engineering、RLHF、Multimodal、代码生成、微调
YuzeHao2023/daily-arxiv-ai4geo,🎓Automatically Update AI4Geo Papers Daily using Github Actions,Python,4,2026-01-21 20:31:22,2026-08-24 16:36:33,public,https://github.com/YuzeHao2023/daily-arxiv-ai4geo,🎓使用 Github Actions 每日自动更新 AI4Geo 论文
yanliang3612/Awesome-Generative-AI-for-Material-Discovery,The papers and code related to deep generative models for material discovery.,,47,2024-09-25 23:37:58,2026-08-24 16:35:06,public,https://github.com/yanliang3612/Awesome-Generative-AI-for-Material-Discovery,这些论文和代码与材料发现的深度生成模型相关。
YuzeHao2023/daily-arxiv-ai4physics,🎓Automatically Update AI4Physics Papers Daily using Github Actions,Python,15,2026-01-19 15:13:32,2026-08-24 16:32:49,public,https://github.com/YuzeHao2023/daily-arxiv-ai4physics,🎓使用 Github Actions 每日自动更新 AI4Physics 论文
JingX-ops/TIDGN,A Transfer Learning-Based Model for Predicting Intrinsically Disordered Protein Interaction Sites Using Invariant Geometric Dynamic Graph Network,Python,3,2025-01-14 15:34:40,2026-08-24 10:15:27,public,https://github.com/JingX-ops/TIDGN,使用不变几何动态图网络预测本质无序蛋白质相互作用位点的基于迁移学习的模型
AIML-SIG/awesome-ai-ml-pharmacometrics,,Jupyter Notebook,10,2026-01-10 16:48:10,2026-08-23 18:02:18,public,https://github.com/AIML-SIG/awesome-ai-ml-pharmacometrics,
dwwwwwww7/my-3dgs,本项目基于https://github.com/longxiang-ai/awesome-gaussians 修改，丰富了论文信息，增加摘要翻译和邮件发送功能，用于检索3DGS压缩最新论文。,Python,4,2025-08-20 20:54:02,2026-08-23 09:22:58,public,https://github.com/dwwwwwww7/my-3dgs,"This project is based on https://github.com/longxiang-ai/awesome-gaussians, modified to enrich paper information, add abstract translation and email sending functions, and is used to retrieve the latest 3DGS compression papers."
snehaa006/prakriva-updated,,TypeScript,1,2026-07-28 18:08:16,2026-08-23 07:30:37,public,https://github.com/snehaa006/prakriva-updated,
Ryukijano/agent-skills,Reusable Windsurf rules and Cursor agent skill files for cross-project AI-assisted development,Python,1,2026-06-22 03:30:24,2026-08-23 04:13:19,public,https://github.com/Ryukijano/agent-skills,可重复使用的 Windsurf 规则和 Cursor 代理技能文件，用于跨项目 AI 辅助开发
ryancahildebrandt/awesome_slop,LLM reading list,Go Template,0,2025-07-25 08:34:28,2026-08-23 02:31:27,public,https://github.com/ryancahildebrandt/awesome_slop,法学硕士阅读清单
cheungngo/097DvB-Intrinsic-Lipid-Shifts-in-First-Episode-Psychosis,,Jupyter Notebook,1,2026-08-22 22:05:29,2026-08-22 22:45:37,public,https://github.com/cheungngo/097DvB-Intrinsic-Lipid-Shifts-in-First-Episode-Psychosis,
lfu46/OGlycoTM,Systematic Quantification of Protein O-GlcNAcylation under N-Glycosylation Inhibition,R,0,2025-10-14 19:27:20,2026-08-22 18:47:37,public,https://github.com/lfu46/OGlycoTM,N-糖基化抑制下蛋白质 O-GlcNA 酰化的系统定量
NMRSamples/schema,"JSON schema definitions for NMR sample metadata, providing a standardised format for recording sample conditions",JavaScript,0,2025-10-12 06:09:09,2026-08-22 17:54:59,public,https://github.com/NMRSamples/schema,NMR 样品元数据的 JSON 模式定义，提供用于记录样品条件的标准化格式
koriyoshi2041/anistrang,"How much mammoth is actually in a mammoth meatball? De-extinction and cultivated meat: a fact-checked report, plus three packages that compute the numbers nobody published.",Python,1,2026-08-22 02:41:03,2026-08-22 12:19:44,public,https://github.com/koriyoshi2041/anistrang,猛犸肉丸里到底有多少猛犸象？消除灭绝和培育肉类：一份经过事实核查的报告，以及三个计算无人发布数字的软件包。
idptools/starling,STARLING - conSTruction of intrinsicAlly disoRdered proteins ensembles efficientLy vIa multi-dimeNsional Generative models,Jupyter Notebook,76,2024-03-15 04:46:48,2026-08-22 11:10:47,public,https://github.com/idptools/starling,STARLING - 通过多维生成模型有效构建内在无序蛋白质整体
jcapecci09/DisProtEncoder,"CLI tool for parsing DisProt consensus sequence annotations, retrieving UniProt sequences, and converting disorder regions into binary-encoded labels for protein disorder and IDR analysis.",Python,0,2026-05-12 08:07:26,2026-08-22 08:58:20,public,https://github.com/jcapecci09/DisProtEncoder,用于解析 DisProt 共有序列注释、检索 UniProt 序列以及将无序区域转换为二进制编码标签以进行蛋白质无序和 IDR 分析的 CLI 工具。
SivaKoganti/Cancer-Protein-IDR-Atlas,,Python,0,2026-08-03 01:24:11,2026-08-22 03:40:54,public,https://github.com/SivaKoganti/Cancer-Protein-IDR-Atlas,
jessica0brien/epigenome-atlas,,HTML,0,2026-08-14 00:21:12,2026-08-22 02:14:19,public,https://github.com/jessica0brien/epigenome-atlas,
KULL-Centre/CALVADOS,,Python,96,2022-07-09 19:48:31,2026-08-22 01:27:09,public,https://github.com/KULL-Centre/CALVADOS,
DIvkov575/esmplm-steering,Activation steering on protein language models,Python,0,2026-07-28 08:00:59,2026-08-21 22:29:15,public,https://github.com/DIvkov575/esmplm-steering,蛋白质语言模型的激活指导
