fullName,language,stargazersCount,createdAt,pushedAt,url,description,description_zh,mark
InsomaniacElf/sg-tamil-tts-resources-,,1,2026-05-26 11:12:53,2026-08-30 13:04:40,https://github.com/InsomaniacElf/sg-tamil-tts-resources-,"A curated, searchable list of datasets, models, research papers, and tools for building Text‑to‑Speech systems for Singapore Tamil and related low‑resource varieties.",用于为新加坡泰米尔语和相关低资源品种构建文本转语音系统的数据集、模型、研究论文和工具的精选、可搜索列表。,no
Jianqiuer/Awesome6DPoseEstimation,Python,319,2023-02-21 16:18:39,2026-08-30 12:16:27,https://github.com/Jianqiuer/Awesome6DPoseEstimation,,,no
iszhanjiawei/dubbing-dubber-arxiv-daily,Python,0,2026-02-04 18:29:41,2026-08-30 12:10:42,https://github.com/iszhanjiawei/dubbing-dubber-arxiv-daily,,,no
exopoiesis/arxiv-radar-chemistry,Python,1,2026-05-03 22:55:49,2026-08-30 11:56:15,https://github.com/exopoiesis/arxiv-radar-chemistry,"Daily-curated chemistry-relevant papers from arXiv with abstracts, canonical tags, and generated Pages views.",来自 arXiv 的每日精选化学相关论文，包含摘要、规范标签和生成的页面视图。,no
iszhanjiawei/TTS_arxiv_daily,Python,3,2025-07-29 11:13:56,2026-08-30 11:46:03,https://github.com/iszhanjiawei/TTS_arxiv_daily,,,no
randomrisk/NeuroAI-Daily-Arxiv,Python,6,2024-06-09 12:34:57,2026-08-30 11:43:59,https://github.com/randomrisk/NeuroAI-Daily-Arxiv,Daily arxiv updates on NeuroAI related topics,NeuroAI 相关主题的每日 arxiv 更新,no
AI-in-Transportation-Lab/awesome-mechanistic-interpretability,JavaScript,151,2025-06-12 01:06:59,2026-08-30 11:08:28,https://github.com/AI-in-Transportation-Lab/awesome-mechanistic-interpretability,"A carefully curated collection of high-quality libraries, projects, tutorials, research papers, and other essential resources focused on Mechanistic Interpretability, a growing subfield in machine learning interpretability research that aims to reverse-engineer neural networks into understandable computational components.",精心策划的高质量库、项目、教程、研究论文和其他重要资源的集合，重点关注机械可解释性，这是机器学习可解释性研究中不断发展的子领域，旨在将神经网络逆向工程为可理解的计算组件。,no
exopoiesis/arxiv-radar-polymer,Python,0,2026-05-04 03:29:07,2026-08-30 11:03:29,https://github.com/exopoiesis/arxiv-radar-polymer,"Daily-curated polymer-relevant papers from arXiv with abstracts, canonical tags, and generated Pages views.",来自 arXiv 的每日精选聚合物相关论文，包含摘要、规范标签和生成的页面视图。,no
iszhanjiawei/flow_matching_arxiv_daily,Python,106,2025-07-08 18:20:28,2026-08-30 10:37:19,https://github.com/iszhanjiawei/flow_matching_arxiv_daily,,,no
api-evangelist/topos-bio,,0,2026-08-02 13:34:45,2026-08-30 10:19:56,https://github.com/api-evangelist/topos-bio,"Topos Bio — independent third-party profile of a public API surface, by API Evangelist. Topos Bio is an AI-native drug discovery company building all-atom foundation models for intrinsically disordered proteins (IDPs) — dynamic, flexible proteins implicated in diseases such as Alzheimer's and prostate cancer.",Topos Bio — 公共 API 界面的独立第三方配置文件，由 API Evangelist 提供。 Topos Bio 是一家人工智能原生药物发现公司，为本质无序蛋白质 (IDP) 构建全原子基础模型，这些蛋白质是与阿尔茨海默病和前列腺癌等疾病有关的动态、灵活的蛋白质。,no
dvlan26/daily-arxiv-ai4sensor,Python,2,2026-02-01 09:49:39,2026-08-30 10:05:12,https://github.com/dvlan26/daily-arxiv-ai4sensor,🎓Automatically Update AI4Sensor Papers Daily using Github Actions,🎓使用 Github Actions 每天自动更新 AI4Sensor 论文,no
ZhuYingJessica/cv-daily,Python,47,2024-05-22 10:52:59,2026-08-30 09:52:03,https://github.com/ZhuYingJessica/cv-daily,This is an Arxiv paper collection,这是 Arxiv 论文集,no
CultureBotAI/proteintraitsmech,Python,1,2026-07-01 21:06:36,2026-08-31 04:27:16,https://github.com/CultureBotAI/proteintraitsmech,ProteinTraits,蛋白质性状,yes
DerekDLP/arxivpaper-daily,Python,0,2025-09-24 12:29:20,2026-08-30 08:01:32,https://github.com/DerekDLP/arxivpaper-daily,,,no
sinc-lab/emb2dis,Python,2,2026-03-05 23:36:45,2026-08-30 01:56:10,https://github.com/sinc-lab/emb2dis,Deep learning model for protein disorder prediction,蛋白质紊乱预测的深度学习模型,yes
joheras/Lecturas,Jupyter Notebook,20,2019-09-02 22:15:58,2026-08-30 00:11:02,https://github.com/joheras/Lecturas,,,no
txingxie/IDPInterp,Python,1,2026-07-04 00:52:24,2026-08-29 09:20:52,https://github.com/txingxie/IDPInterp,,,yes
spacenship/newDailyArxiv,Python,0,2026-05-08 13:17:08,2026-08-29 08:38:02,https://github.com/spacenship/newDailyArxiv,daily paper from Arxiv,来自 Arxiv 的日报,no
KentoNishi/awesome-all-you-need-papers,Python,161,2021-06-10 11:29:42,2026-08-29 05:29:42,https://github.com/KentoNishi/awesome-all-you-need-papers,"A list of all ""all you need"" papers. Updated daily using the arXiv API.",所有“您需要的”论文的列表。使用 arXiv API 每日更新。,no
iopwsy/arXiv_cond-mat,Python,3,2025-05-01 21:38:05,2026-08-29 01:24:02,https://github.com/iopwsy/arXiv_cond-mat,利用GitHub Action 与LLM自动更新arXiv凝聚态物理相关论文,[translate failed],no
cheungngo/097DvDp2-A-symptom-level-TWAS-reading-with-implications-for-post-psychotic-depression,Jupyter Notebook,0,2026-08-29 00:44:44,2026-08-29 00:46:31,https://github.com/cheungngo/097DvDp2-A-symptom-level-TWAS-reading-with-implications-for-post-psychotic-depression,,,no
CYandYue/Auto-Get-Papers-pro,Python,1,2025-03-29 22:51:35,2026-08-28 22:26:54,https://github.com/CYandYue/Auto-Get-Papers-pro,,,no
mesdaghi/genome_annotation_quality_nextflow_pipeline,Python,0,2026-02-12 23:32:12,2026-08-28 19:44:01,https://github.com/mesdaghi/genome_annotation_quality_nextflow_pipeline,"Nextflow pipeline for large-scale protein structure prediction using Protenix, with automated chunking, model processing, and pLDDT distribution analysis against reference organism datasets. Also Metapredict and PSAURON analysis",使用 Protenix 进行大规模蛋白质结构预测的 Nextflow 管道，具有针对参考生物数据集的自动分块、模型处理和 pLDDT 分布分析。还有 Metapredict 和 PSAURON 分析,yes
OpenEnvision/Awesome-World-Modeling,JavaScript,131,2026-04-28 03:38:35,2026-08-28 17:16:14,https://github.com/OpenEnvision/Awesome-World-Modeling,"Awesome World Models [Cover Represenational, Generative, Agentic World Models]",很棒的世界模型 [涵盖表征、生成、代理世界模型],no
BryanRalston/marshall-syndrome-resource,HTML,0,2026-03-04 09:18:17,2026-08-28 08:27:28,https://github.com/BryanRalston/marshall-syndrome-resource,Comprehensive research-backed resource guide for families navigating Marshall Syndrome (COL11A1 mutation),针对马歇尔综合症（COL11A1 突变）家庭的综合研究支持资源指南,no
erdoslab-elte/Internship_Luca_Levay,Python,0,2026-05-22 21:49:16,2026-08-28 04:36:13,https://github.com/erdoslab-elte/Internship_Luca_Levay,,,no
james-r-barrett/SEC_fit,Python,0,2026-02-08 02:19:36,2026-08-27 23:55:37,https://github.com/james-r-barrett/SEC_fit,An interactive Python tool for Size Exclusion Chromatography (SEC) analysis. Robustly corrects AKTA baseline offsets and performs interactive Gaussian peak deconvolution.,用于尺寸排阻色谱 (SEC) 分析的交互式 Python 工具。稳健地校正 AKTA 基线偏移并执行交互式高斯峰值反卷积。,no
idptools/afrc,Python,2,2021-01-05 08:38:24,2026-08-27 21:36:43,https://github.com/idptools/afrc,Implementation of our reference polymer model for an unfolded protein as an ideal chain,将未折叠蛋白质作为理想链的参考聚合物模型的实施,yes
HyeonjeYang/FLK-IDR-repeat,Python,0,2026-08-26 20:49:19,2026-08-27 20:18:43,https://github.com/HyeonjeYang/FLK-IDR-repeat,Exploring the evolutionary conservation and sequence grammar of the triplicated LEPQQYEV repeat in the N-terminal IDR of Arabidopsis FLK.,探索拟南芥 FLK N 末端 IDR 中三重 LEPQQYEV 重复序列的进化保守性和序列语法。,yes
briannaspishock/tardigrade-stress-seq,HTML,0,2026-08-18 00:01:19,2026-08-27 20:16:21,https://github.com/briannaspishock/tardigrade-stress-seq,,,no
MaybeBio/GhResearcher,Python,2,2026-05-12 18:30:13,2026-08-27 19:39:07,https://github.com/MaybeBio/GhResearcher,A powerful GitHub Code & Repo Analysis CLI tool for Scientific Researchers,面向科学研究人员的强大 GitHub 代码和存储库分析 CLI 工具,no
MaybeBio/Awesome-Protein-ContactMap-Prediction,HTML,1,2026-08-15 00:29:37,2026-08-27 19:04:31,https://github.com/MaybeBio/Awesome-Protein-ContactMap-Prediction,,,no
james-r-barrett/FLIPPer,Python,0,2024-03-01 06:37:24,2026-08-27 17:11:40,https://github.com/james-r-barrett/FLIPPer,"Pluggable pipeline for identifying candidate intrinsically disordered linker regions in pyrenoid proteins from FASTA sequences (XSTREAM or DetectRepeats + pI, composition, and disorder filtering).",可插入管道，用于从 FASTA 序列（XSTREAM 或 DetectRepeats + pI、组成和无序过滤）中识别类核蛋白中候选的本质无序连接子区域。,no
kucm-lsbi/MANTA,Python,0,2026-08-05 12:02:38,2026-08-27 14:05:22,https://github.com/kucm-lsbi/MANTA,MANTA: Metric decoding with language-model geometric priors for tunable IDP ensemble generation,MANTA：使用语言模型几何先验进行度量解码，用于可调 IDP 集成生成,yes
ai4s-research/awesome-ai-for-science,,1920,2025-10-04 17:32:39,2026-08-27 12:54:55,https://github.com/ai4s-research/awesome-ai-for-science,"A curated list of awesome AI tools, libraries, papers, datasets, and frameworks that accelerate scientific discovery — from physics and chemistry to biology, materials, and beyond.",精选的人工智能工具、库、论文、数据集和框架列表，可加速科学发现——从物理和化学到生物学、材料等。,no
CobanAkdemirlab/NMDescapediseasegene_paper,R,0,2025-03-07 05:38:53,2026-08-27 05:05:31,https://github.com/CobanAkdemirlab/NMDescapediseasegene_paper,,,no
riocx978/riocx978,,0,2026-04-27 03:24:24,2026-08-27 03:43:02,https://github.com/riocx978/riocx978,,,no
ryanemenecker/idr_flanks,Python,0,2026-08-20 23:25:50,2026-08-26 20:52:35,https://github.com/ryanemenecker/idr_flanks,A Python package for building flanking idrs to help with binding a target,用于构建侧翼 idrs 以帮助绑定目标的 Python 包,yes
cguyeux/deciphering-tuberculosis-with-ai,Python,0,2026-06-03 17:23:14,2026-08-26 18:41:57,https://github.com/cguyeux/deciphering-tuberculosis-with-ai,,,no
Zenteomics/awesome-proteomics,,1,2026-05-14 13:37:52,2026-08-26 08:29:57,https://github.com/Zenteomics/awesome-proteomics,"A curated list of awesome proteomics tools, databases, workflows, and learning resources with expert guides and practitioner pipelines.",精选的蛋白质组学工具、数据库、工作流程和学习资源以及专家指南和从业者管道的精选列表。,yes
idptools/sparrow,Python,44,2020-12-22 05:42:26,2026-08-26 03:50:04,https://github.com/idptools/sparrow,Next generation sequence parameter library for proteins,下一代蛋白质序列参数库,yes
mattyb4/Cluster-Scout,Python,0,2026-06-09 06:35:26,2026-08-26 03:26:21,https://github.com/mattyb4/Cluster-Scout,,,no
terravic/alphafold-database-visualize-skill,Python,0,2026-08-26 02:41:45,2026-08-26 02:41:49,https://github.com/terravic/alphafold-database-visualize-skill,"Agent skill and pipeline to retrieve, analyze, and visualize AlphaFold predicted structures with interactive 3D WebGL, pLDDT metrics, and PAE domain heatmaps in Canvas.",代理技能和管道，用于通过 Canvas 中的交互式 3D WebGL、pLDDT 指标和 PAE 域热图检索、分析和可视化 AlphaFold 预测结构。,no
MiHiR-Kr-007/IDP-Spot-Finder,Python,0,2026-08-25 21:08:48,2026-08-25 21:25:58,https://github.com/MiHiR-Kr-007/IDP-Spot-Finder,"A computational pipeline for mathematically isolating topologically stable interaction hubs within Intrinsically Disordered Proteins (IDPs). It leverages spatial graph theory,  clustering to analyze massive Molecular Dynamics simulations.",用于在数学上隔离本质无序蛋白质 (IDP) 内的拓扑稳定相互作用中心的计算管道。它利用空间图论、聚类来分析大规模分子动力学模拟。,yes
im-va-3/jax-md-main,Jupyter Notebook,0,2026-08-25 03:18:48,2026-08-25 18:41:09,https://github.com/im-va-3/jax-md-main,Public consolidated snapshot of jax-md-main (differentiable-molecular-dynamics) from 07-molecular-materials-and-condensed-matter.,来自 07-分子材料和凝聚态物质的 jax-md-main（可微分分子动力学）的公共综合快照。,no
awbran/RoseTTAFold2-PPI,Python,0,2026-08-25 17:23:32,2026-08-25 17:24:38,https://github.com/awbran/RoseTTAFold2-PPI,,,yes
HyeonjeYang/arabidopsis-rbp-idr-atlas,Python,0,2026-08-25 12:56:17,2026-08-25 16:05:32,https://github.com/HyeonjeYang/arabidopsis-rbp-idr-atlas,"Sequence-audited comparative analysis of intrinsically disordered regions in Arabidopsis RNA-binding proteins, with experimentally anchored ECT8 and FLK case studies.",通过实验锚定的 ECT8 和 FLK 案例研究，对拟南芥 RNA 结合蛋白的本质无序区域进行序列审核比较分析。,✅
gitesei/MEM-CALVADOS,Python,1,2026-02-04 03:37:18,2026-08-25 16:03:55,https://github.com/gitesei/MEM-CALVADOS,,,❌
iashuks/MutaFoldv2,TypeScript,0,2026-08-25 15:04:23,2026-08-25 15:06:12,https://github.com/iashuks/MutaFoldv2,,,❌
u107207006/ID-Lottery-Global-Manifesto,HTML,0,2026-02-22 00:11:26,2026-08-25 14:37:09,https://github.com/u107207006/ID-Lottery-Global-Manifesto,2026 Global Governance Diagnosis & Social Detox Project by Hsu Tsuan-Jung.,2026 年全球治理诊断与社会排毒项目，作者：Hsu Tsuan-Jung。,❌
MaybeBio/MaybeBio,,1,2024-09-05 23:47:25,2026-08-25 10:12:31,https://github.com/MaybeBio/MaybeBio,,,❌
zeleny-ondrej/STNN-Weekly-Arxiv,Python,20,2024-04-23 19:22:58,2026-08-25 06:16:03,https://github.com/zeleny-ondrej/STNN-Weekly-Arxiv,Scraping repository of the most relevant topics with regards to Spatio-Temporal Neural Networks available in the arXiv archive. The repository and workflow is based on https://github.com/SpikingChen/SNN-Daily-Arxiv.,抓取 arXiv 档案中与时空神经网络最相关的主题的存储库。存储库和工作流程基于 https://github.com/SpikingChen/SNN-Daily-Arxiv。,❌
219plgit/scijigsaw,HTML,0,2026-07-13 23:42:49,2026-08-25 05:38:35,https://github.com/219plgit/scijigsaw,Scientific Jigsaw,科学拼图,✅
longevity-genie/materialized-enhancements,Python,1,2026-03-07 16:23:45,2026-08-25 03:31:39,https://github.com/longevity-genie/materialized-enhancements,A project for 『 The New Human 』ART+TECH Festival [2026] ,『新人类』艺术+科技节企划 [2026],❌
feiglab/idpgan,Jupyter Notebook,52,2022-06-18 05:13:06,2026-08-25 00:22:01,https://github.com/feiglab/idpgan,,,✅
FarisRaza/rbp-dataset,Python,0,2026-08-13 04:40:31,2026-08-24 23:20:00,https://github.com/FarisRaza/rbp-dataset,UCLA Kappel Lab's repository for documenting and generating a human proteome-wide dataset with a focus on RNA-binding proteins.,加州大学洛杉矶分校 Kappel 实验室的存储库，用于记录和生成人类蛋白质组范围的数据集，重点关注 RNA 结合蛋白。,✅
bioinfbrad/enzywizard-mut-integrate,Python,0,2026-04-23 21:18:52,2026-08-25 00:04:11,https://github.com/bioinfbrad/enzywizard-mut-integrate,,,❌
bioinfbrad/enzywizard-mut-batch,Python,0,2026-04-23 21:19:59,2026-08-25 00:02:58,https://github.com/bioinfbrad/enzywizard-mut-batch,,,❌
bioinfbrad/enzywizard-integrate,Python,0,2026-04-23 21:19:13,2026-08-25 00:01:28,https://github.com/bioinfbrad/enzywizard-integrate,,,❌
bioinfbrad/enzywizard-disorder,Python,0,2026-04-23 21:16:40,2026-08-24 23:56:57,https://github.com/bioinfbrad/enzywizard-disorder,,,❌
bioinfbrad/enzywizard-batch,Python,0,2026-04-23 21:19:36,2026-08-24 23:53:10,https://github.com/bioinfbrad/enzywizard-batch,,,❌
eerstar/LLM-Agent-paper-daily,Python,0,2026-02-16 00:43:31,2026-08-24 17:47:45,https://github.com/eerstar/LLM-Agent-paper-daily,,,❌
iashuks/Mutafold,TypeScript,0,2026-08-24 17:33:36,2026-08-24 17:37:21,https://github.com/iashuks/Mutafold,,,❌
theneao/CV-SAR-Seg-arxiv-daily,Python,4,2023-06-02 21:04:55,2026-08-24 17:08:11,https://github.com/theneao/CV-SAR-Seg-arxiv-daily,CV领域 个人关注方向 每日arxiv文章更新,[translate failed],❌
cnlinxi/LLM-paper-daily,Python,10,2024-12-06 22:47:02,2026-08-24 17:05:49,https://github.com/cnlinxi/LLM-paper-daily,Automatically Update LLM Papers Daily using Github Actions. Ref: https://github.com/Vincentqyw/cv-arxiv-daily,使用 Github Actions 每日自动更新 LLM 论文。参考：https://github.com/Vincentqyw/cv-arxiv-daily,❌
DZRRRRRR/my_arxiv_daily,Python,2,2023-12-18 16:52:43,2026-08-24 17:02:15,https://github.com/DZRRRRRR/my_arxiv_daily,,,❌
Xuchen-Li/cv-arxiv-daily,Python,48,2024-02-07 09:44:07,2026-08-24 16:58:39,https://github.com/Xuchen-Li/cv-arxiv-daily,"Automatically update arXiv papers about SOT & VLT,  Multi-modal Learning, LLM and Video Understanding using Github Actions.",使用 Github Actions 自动更新有关 SOT 和 VLT、多模式学习、LLM 和视频理解的 arXiv 论文。,❌
Vincentqyw/cv-arxiv-daily,Python,1495,2021-10-08 22:35:41,2026-08-24 16:52:25,https://github.com/Vincentqyw/cv-arxiv-daily,🎓Automatically Update CV Papers Daily using Github Actions,🎓使用 Github Actions 每天自动更新简历论文,❌
YuzeHao2023/daily-arxiv-ai4bio,Python,18,2026-01-18 21:21:37,2026-08-24 16:51:40,https://github.com/YuzeHao2023/daily-arxiv-ai4bio,🎓Automatically Update AI4Bio Papers Daily using Github Actions,🎓使用 Github Actions 每日自动更新 AI4Bio 论文,❌
Lyz103/LLM-Agent-Paper-daily,Python,20,2024-08-27 16:15:19,2026-08-24 16:49:22,https://github.com/Lyz103/LLM-Agent-Paper-daily,Automatically Update LLM-Agent Papers Daily using Github Actions (Update Every 12th hours),使用 Github Actions 每天自动更新 LLM-Agent 论文（每 12 小时更新一次）,❌
YuzeHao2023/daily-arxiv-ai4polymer,Python,5,2026-01-19 18:42:17,2026-08-24 16:48:56,https://github.com/YuzeHao2023/daily-arxiv-ai4polymer,🎓Automatically Update AI4Polymer Papers Daily using Github Actions,🎓使用 Github Actions 每日自动更新 AI4Polymer 论文,❌
YuzeHao2023/daily-arxiv-ai4chem,Python,30,2026-01-18 14:29:07,2026-08-24 16:46:32,https://github.com/YuzeHao2023/daily-arxiv-ai4chem,🎓Automatically Update AI4Chem Papers Daily using Github Actions,🎓使用 Github Actions 每日自动更新 AI4Chem 论文,❌
YuzeHao2023/daily-arxiv-ai4economy,Python,5,2026-01-21 21:14:02,2026-08-24 16:44:24,https://github.com/YuzeHao2023/daily-arxiv-ai4economy,🎓Automatically Update AI4Economy Papers Daily using Github Actions,🎓使用 Github Actions 每日自动更新 AI4Economy 论文,❌
jiangnan030-del/ai-arxiv-daily,Python,0,2026-03-20 21:06:42,2026-08-24 16:42:44,https://github.com/jiangnan030-del/ai-arxiv-daily,"Auto-track AI/LLM papers daily from arXiv - Large Language Model, AI Agent, RAG, Prompt Engineering, RLHF, Multimodal, Code Generation, Fine-tuning",每天自动跟踪来自 arXiv 的 AI/LLM 论文 - 大型语言模型、AI Agent、RAG、Prompt Engineering、RLHF、Multimodal、代码生成、微调,❌
YuzeHao2023/daily-arxiv-ai4geo,Python,4,2026-01-21 20:31:22,2026-08-24 16:36:33,https://github.com/YuzeHao2023/daily-arxiv-ai4geo,🎓Automatically Update AI4Geo Papers Daily using Github Actions,🎓使用 Github Actions 每日自动更新 AI4Geo 论文,❌
yanliang3612/Awesome-Generative-AI-for-Material-Discovery,,47,2024-09-25 23:37:58,2026-08-24 16:35:06,https://github.com/yanliang3612/Awesome-Generative-AI-for-Material-Discovery,The papers and code related to deep generative models for material discovery.,这些论文和代码与材料发现的深度生成模型相关。,❌
YuzeHao2023/daily-arxiv-ai4physics,Python,15,2026-01-19 15:13:32,2026-08-24 16:32:49,https://github.com/YuzeHao2023/daily-arxiv-ai4physics,🎓Automatically Update AI4Physics Papers Daily using Github Actions,🎓使用 Github Actions 每日自动更新 AI4Physics 论文,❌
JingX-ops/TIDGN,Python,3,2025-01-14 15:34:40,2026-08-24 10:15:27,https://github.com/JingX-ops/TIDGN,A Transfer Learning-Based Model for Predicting Intrinsically Disordered Protein Interaction Sites Using Invariant Geometric Dynamic Graph Network,使用不变几何动态图网络预测本质无序蛋白质相互作用位点的基于迁移学习的模型,✅
